행정구역(시군구)별,인구
가평군,62197
고양시 덕양구,487874
고양시 일산동구,296590
고양시 일산서구,290738
과천시,77775
광명시,288182
광주시,391704
구리시,188876
군포시,266531
김포시,484194
남양주시,737366
동두천시,91735
부천시,791263
성남시 분당구,482026
성남시 수정구,232125
성남시 중원구,206211
수원시 권선구,367004
수원시 영통구,360127
수원시 장안구,271012
수원시 팔달구,192225
시흥시,512438
안산시 단원구,297509
안산시 상록구,345535
안성시,189146
안양시 동안구,314102
안양시 만안구,234296
양주시,241346
양평군,122463
여주시,113096
연천군,42153
오산시,229833
용인시 기흥구,438500
용인시 수지구,377198
용인시 처인구,259872
의왕시,160464
의정부시,463789
이천시,223151
파주시,494970
평택시,577335
포천시,147019
하남시,325310
화성시,907958
