"시, 구","동, 면",토지용도
군포시,금정동,주거
군포시,당동,주거
군포시,당정동,공업
군포시,대야미동,녹지
군포시,도마교동,주거
군포시,둔대동,녹지
군포시,부곡동,공업
군포시,산본동,주거
군포시,속달동,녹지
하남시,감북동,주거
하남시,감이동,주거
하남시,감일동,주거
하남시,광암동,녹지
하남시,교산동,주거
하남시,당정동,녹지
하남시,덕풍동,주거
하남시,망월동,주거
하남시,미사동,녹지
하남시,배알미동,녹지
하남시,상사창동,주거
하남시,상산곡동,녹지
하남시,선동,주거
하남시,신장동,주거
하남시,창우동,녹지
하남시,천현동,주거
하남시,초이동,녹지
하남시,초일동,녹지
하남시,춘궁동,녹지
하남시,풍산동,주거
하남시,하사창동,주거
하남시,하산곡동,녹지
하남시,학암동,녹지
하남시,항동,주거
오산시,가수동,주거
오산시,가장동,공업
오산시,갈곶동,공업
오산시,고현동,주거
오산시,궐동,주거
오산시,금암동,주거
오산시,내삼미동,녹지
오산시,누읍동,주거
오산시,두곡동,녹지
오산시,벌음동,녹지
오산시,부산동,주거
오산시,서동,녹지
오산시,서랑동,녹지
오산시,세교동,상업
오산시,수청동,주거
오산시,양산동,녹지
오산시,오산동,상업
오산시,외삼미동,녹지
오산시,원동,주거
오산시,은계동,주거
오산시,지곶동,녹지
오산시,청학동,주거
오산시,청호동,주거
오산시,탑동,주거
이천시,갈산동,녹지
이천시,고담동,녹지
이천시,관고동,녹지
이천시,단월동,녹지
이천시,대월면,녹지
이천시,대포동,녹지
이천시,마장면,녹지
이천시,모가면,녹지
이천시,백사면,녹지
이천시,부발읍,녹지
이천시,사음동,녹지
이천시,설성면,녹지
이천시,송정동,녹지
이천시,신둔면,녹지
이천시,안흥동,녹지
이천시,율면,녹지
이천시,율현동,녹지
이천시,장록동,녹지
이천시,장호원읍,녹지
이천시,중리동,상업
이천시,증일동,녹지
이천시,증포동,주거
이천시,진리동,녹지
이천시,창전동,주거
이천시,호법면,녹지
안성시,가사동,녹지
안성시,가현동,녹지
안성시,계동,녹지
안성시,고삼면,녹지
안성시,공도읍,녹지
안성시,구포동,녹지
안성시,금광면,녹지
안성시,금산동,녹지
안성시,금석동,녹지
안성시,낙원동,주거
안성시,당왕동,주거
안성시,대덕면,녹지
안성시,대천동,상업
안성시,도기동,녹지
안성시,동본동,상업
안성시,명륜동,녹지
안성시,미양면,녹지
안성시,발화동,녹지
안성시,보개면,녹지
안성시,봉남동,녹지
안성시,봉산동,주거
안성시,사곡동,녹지
안성시,삼죽면,녹지
안성시,서운면,녹지
안성시,서인동,상업
안성시,석정동,주거
안성시,성남동,주거
안성시,숭인동,주거
안성시,신건지동,공업
안성시,신모산동,공업
안성시,신소현동,주거
안성시,신흥동,주거
안성시,아양동,주거
안성시,양성면,녹지
안성시,연지동,주거
안성시,영동,상업
안성시,옥산동,주거
안성시,옥천동,주거
안성시,원곡면,녹지
안성시,인지동,상업
안성시,일죽면,녹지
안성시,죽산면,녹지
안성시,중리동,녹지
안성시,창전동,주거
안성시,현수동,녹지
의왕시,고천동,주거
의왕시,내손동,녹지
의왕시,삼동,주거
의왕시,오전동,녹지
의왕시,왕곡동,녹지
의왕시,월암동,주거
의왕시,이동,녹지
의왕시,청계동,녹지
의왕시,초평동,녹지
의왕시,포일동,주거
의왕시,학의동,녹지
양평군,강상면,녹지
양평군,강하면,녹지
양평군,개군면,녹지
양평군,단월면,녹지
양평군,서종면,녹지
양평군,양동면,녹지
양평군,양서면,녹지
양평군,양평읍,녹지
양평군,옥천면,녹지
양평군,용문면,녹지
양평군,지평면,녹지
양평군,청운면,녹지
여주시,가남읍,녹지
여주시,가업동,녹지
여주시,강천면,녹지
여주시,교동,주거
여주시,금사면,녹지
여주시,능현동,녹지
여주시,단현동,녹지
여주시,대신면,녹지
여주시,매룡동,녹지
여주시,멱곡동,녹지
여주시,북내면,녹지
여주시,산북면,녹지
여주시,삼교동,녹지
여주시,상거동,녹지
여주시,상동,녹지
여주시,세종대왕면,녹지
여주시,신진동,녹지
여주시,연라동,녹지
여주시,연양동,녹지
여주시,오금동,녹지
여주시,오학동,녹지
여주시,우만동,녹지
여주시,월송동,녹지
여주시,점동면,녹지
여주시,정봉동,녹지
여주시,창동,주거
여주시,천송동,녹지
여주시,하거동,녹지
여주시,하동,주거
여주시,현암동,녹지
여주시,홍문동,주거
여주시,홍천면,녹지
과천시,갈현동,주거
과천시,과천동,녹지
과천시,관문동,녹지
과천시,막계동,녹지
과천시,문원동,녹지
과천시,벌양동,주거
과천시,부림동,주거
과천시,원문동,주거
과천시,주암동,주거
과천시,중앙동,녹지
고양시 덕양구,강매동,녹지
고양시 덕양구,고양동,주거
고양시 덕양구,관산동,녹지
고양시 덕양구,내곡동,녹지
고양시 덕양구,내유동,녹지
고양시 덕양구,대자동,녹지
고양시 덕양구,대장동,녹지
고양시 덕양구,덕은동,녹지
고양시 덕양구,도내동,주거
고양시 덕양구,동산동,주거
고양시 덕양구,벽제동,녹지
고양시 덕양구,북한동,녹지
고양시 덕양구,삼송동,주거
고양시 덕양구,선유동,녹지
고양시 덕양구,성사동,녹지
고양시 덕양구,신원동,녹지
고양시 덕양구,신평동,녹지
고양시 덕양구,오금동,녹지
고양시 덕양구,용두동,주거
고양시 덕양구,원당동,녹지
고양시 덕양구,원흥동,주거
고양시 덕양구,주교동,녹지
고양시 덕양구,지축동,주거
고양시 덕양구,토당동,녹지
고양시 덕양구,행신동,주거
고양시 덕양구,행주내동,녹지
고양시 덕양구,행주외동,녹지
고양시 덕양구,향동동,주거
고양시 덕양구,현천동,녹지
고양시 덕양구,화전동,주거
고양시 덕양구,화정동,주거
고양시 덕양구,효자동,녹지
고양시 일산동구,마두동,주거
고양시 일산동구,문봉동,녹지
고양시 일산동구,백석동,주거
고양시 일산동구,사리현동,녹지
고양시 일산동구,산황동,녹지
고양시 일산동구,설문동,녹지
고양시 일산동구,성석동,녹지
고양시 일산동구,식사동,주거
고양시 일산동구,장항동,상업
고양시 일산동구,정발산동,주거
고양시 일산동구,중산동,주거
고양시 일산동구,지영동,녹지
고양시 일산동구,풍동,주거
고양시 일산서구,가좌동,녹지
고양시 일산서구,구산동,녹지
고양시 일산서구,대화동,상업
고양시 일산서구,덕이동,녹지
고양시 일산서구,법곳동,녹지
고양시 일산서구,일산동,주거
고양시 일산서구,주엽동,주거
고양시 일산서구,탄현동,주거
남양주시,금곡동,녹지
남양주시,다산동,주거
남양주시,도농동,주거
남양주시,별내동,주거
남양주시,별내면,녹지
남양주시,삼패동,녹지
남양주시,수동면,녹지
남양주시,수석동,녹지
남양주시,오남읍,녹지
남양주시,와부읍,녹지
남양주시,이패동,녹지
남양주시,일패동,주거
남양주시,조안면,녹지
남양주시,지금동,녹지
남양주시,진건읍,주거
남양주시,퇴계원읍,주거
남양주시,평내동,주거
남양주시,호평동,주거
남양주시,화도읍,주거
파주시,검산동,녹지
파주시,광탄면,녹지
파주시,교하동,녹지
파주시,군내면,녹지
파주시,금릉동,녹지
파주시,금촌동,주거
파주시,다을동,주거
파주시,당하동,녹지
파주시,동패동,주거
파주시,맥금동,녹지
파주시,목동동,주거
파주시,문발동,공업
파주시,문산읍,녹지
파주시,법원읍,녹지
파주시,산남동,녹지
파주시,상지석동,녹지
파주시,서패동,녹지
파주시,송촌동,녹지
파주시,신촌동,녹지
파주시,아동동,녹지
파주시,야당동,주거
파주시,야동동,녹지
파주시,연다산동,녹지
파주시,오도동,녹지
파주시,와동동,상업
파주시,월롱면,녹지
파주시,장단면,녹지
파주시,적성면,녹지
파주시,조리읍,녹지
파주시,진동면,녹지
파주시,진서면,녹지
파주시,탄현면,녹지
파주시,파주읍,녹지
파주시,파평면,녹지
파주시,하지석동,녹지
의정부시,가능동,주거
의정부시,고산동,녹지
의정부시,금오동,주거
의정부시,낙양동,녹지
의정부시,녹양동,주거
의정부시,민락동,주거
의정부시,산곡동,녹지
의정부시,신곡동,주거
의정부시,용현동,주거
의정부시,의정부동,상업
의정부시,자일동,녹지
의정부시,장암동,녹지
의정부시,호원동,녹지
양주시,고암동,녹지
양주시,고읍동,녹지
양주시,광사동,녹지
양주시,광적면,녹지
양주시,남면,녹지
양주시,남방동,녹지
양주시,덕계동,주거
양주시,덕정동,주거
양주시,마전동,녹지
양주시,만송동,녹지
양주시,백석읍,녹지
양주시,봉양동,공업
양주시,산북동,녹지
양주시,삼숭동,주거
양주시,어둔동,녹지
양주시,옥정동,주거
양주시,유양동,녹지
양주시,율정동,녹지
양주시,은현면,녹지
양주시,장흥면,녹지
양주시,회암동,녹지
양주시,회정동,주거
구리시,갈매동,주거
구리시,교문동,녹지
구리시,수택동,주거
구리시,아천동,녹지
구리시,인창동,주거
구리시,토평동,녹지
포천시,가산면,녹지
포천시,관인면,녹지
포천시,군내면,녹지
포천시,내촌면,녹지
포천시,동교동,녹지
포천시,선단동,주거
포천시,설운동,녹지
포천시,소흘읍,녹지
포천시,신북면,녹지
포천시,신읍동,주거
포천시,어룡동,녹지
포천시,영북면,녹지
포천시,영중면,녹지
포천시,이동면,녹지
포천시,일동면,녹지
포천시,자작동,녹지
포천시,창수면,녹지
포천시,화현면,녹지
동두천시,걸산동,녹지
동두천시,광암동,녹지
동두천시,동두천동,공업
동두천시,보산동,녹지
동두천시,상봉암동,녹지
동두천시,상패동,녹지
동두천시,생연동,상업
동두천시,송내동,녹지
동두천시,안흥동,녹지
동두천시,지행동,주거
동두천시,탑동동,녹지
동두천시,하봉암동,녹지
가평군,가평읍,녹지
가평군,북면,녹지
가평군,상면,녹지
가평군,설악면,녹지
가평군,조종면,녹지
가평군,청평면,녹지
연천군,군남면,녹지
연천군,미산면,녹지
연천군,백학면,녹지
연천군,신서면,녹지
연천군,연천읍,녹지
연천군,왕징면,녹지
연천군,장남면,녹지
연천군,전곡읍,녹지
연천군,중면,녹지
연천군,청산면,녹지
연천군,화현면,녹지
