,,15~39세,40~59세,60세
수원시,"146,572","69,845","21,921","54,804"
성남시,"115,433","46,475","17,866","51,090"
안양시,"48,533","16,062","7,247","25,224"
부천시,"85,105","26,331","13,937","44,837"
광명시,"26,496","7,630","4,246","14,620"
평택시,"69,593","27,258","12,225","30,110"
안산시,"81,948","29,781","15,159","37,006"
과천시,"3,744","1,184",524,"2,036"
오산시,"29,692","14,396","5,395","9,901"
시흥시,"55,926","20,856","11,402","23,667"
군포시,"26,017","8,311","4,079","13,627"
의왕시,"12,877","4,835","1,685","6,356"
하남시,"33,759","15,092","5,501","13,166"
용인시,"90,156","39,612","13,505","37,039"
이천시,"24,332","9,216","3,649","11,467"
안성시,"26,020","9,524","3,758","12,738"
김포시,"41,284","14,927","7,385","18,972"
화성시,"91,164","45,570","15,529","30,065"
광주시,"34,577","10,542","7,124","16,911"
여주시,"13,288","2,917","1,792","8,579"
양평군,"14,949","2,110","1,701","11,138"
의정부시,"50,008","15,320","7,616","27,072"
동두천시,"12,035","2,386","1,560","8,089"
고양시,"100,409","32,047","17,766","50,596"
구리시,"18,155","4,989","3,088","10,077"
남양주시,"53,418","13,508","9,150","30,760"
파주시,"43,803","14,594","7,101","22,108"
양주시,"22,433","5,790","3,551","13,091"
포천시,"19,088","4,060","2,560","12,468"
연천군,"6,200","1,338",503,"4,359"
가평군,"8,996","1,509",958,"6,529"
