지역,쏘카존 수,인구,2030인구,아파트 수,행복주택 수,지하철역 수,환승역 수,정류장 수,대학교 수,대학생 수,녹지,주거,공업,상업,위도,경도,면적,군집
수원시 장안구,18,271012,82294.5598,200,0,1,0,409,4,34441,0.2727272727272727,0.7272727272727273,0.0,0.0,37.30397090000028,127.00174327903562,33.34,B
수원시 권선구,16,367004,111443.1561,159,1,4,0,537,1,11033,0.625,0.3125,0.0625,0.0,37.25768699999995,126.96353177903784,47.17,E
수원시 팔달구,20,192225,58370.37385,65,1,4,2,185,0,0,0.1363636363636363,0.4090909090909091,0.0,0.4545454545454545,37.28256950000001,127.01171837904,12.86,B
수원시 영통구,34,360127,109354.9102,129,3,6,0,380,21,22911,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.0,37.259599900001895,127.04234075393327,27.72,E
용인시 처인구,29,259872,67270.6954,112,1,9,0,1234,15,13084,0.8235294117647058,0.0588235294117647,0.0,0.1176470588235294,37.23434599999878,127.192964779039,467.65,B
용인시 기흥구,37,438500,113510.4972,251,0,11,2,1524,16,8071,0.7272727272727273,0.1818181818181818,0.0909090909090909,0.0,37.2804499000003,127.106282679038,81.6,A
용인시 수지구,37,377198,97641.80737,214,0,5,0,53,9,12816,0.4285714285714285,0.5714285714285714,0.0,0.0,37.3222421999992,127.08940067903866,42.1,E
성남시 수정구,18,232125,66251.67434,91,5,9,2,436,11,20021,0.631578947368421,0.3684210526315789,0.0,0.0,37.45039559999981,127.13725427904112,45.98,B
성남시 중원구,13,206211,58855.46157,79,0,1,0,251,1,6778,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,37.43052329999992,127.12883047903613,26.38,B
성남시 분당구,58,482026,137576.8641,231,0,12,3,694,1,0,0.5,0.5,0.0,0.0,37.38281949999914,127.11054617903623,69.49,A
부천시,57,791263,224595.0,520,2,18,2,1110,14,10447,0.2307692307692307,0.6153846153846154,0.1538461538461538,0.0,37.503591699999895,126.75762077903995,53.44,C
화성시,56,907958,260316.0,388,17,3,2,2873,27,14423,0.5675675675675675,0.3513513513513513,0.054054054054054,0.027027027027027,37.19956500000045,126.82302577903695,693.9,C
안산시 상록구,21,345535,102388.5024,65,0,4,2,539,4,10207,0.6666666666666666,0.3333333333333333,0.0,0.0,37.30108130000041,126.83827217903396,57.89,E
안산시 단원구,25,297509,88157.49764,160,0,15,3,760,2,4628,0.4285714285714285,0.3571428571428571,0.2142857142857142,0.0,37.32101699999964,126.80688497904232,91.23,E
안양시 만안구,19,234296,65028.48528,138,1,4,0,362,15,11484,0.6666666666666666,0.3333333333333333,0.0,0.0,37.38664900000111,126.92394577903464,15.34,B
안양시 동안구,19,314102,87178.51472,174,0,3,0,381,1,6777,0.25,0.75,0.0,0.0,37.39257390000054,126.94297467903772,21.93,E
평택시,53,577335,316322.0,367,5,5,0,1839,9,9989,0.5945945945945946,0.2702702702702703,0.081081081081081,0.054054054054054,36.989605799999936,127.1051017790378,458.3,F
시흥시,35,512438,146801.0,313,3,11,2,1092,5,6168,0.7741935483870968,0.1935483870967742,0.032258064516129,0.0,37.380176999999485,126.79455477903672,138.65,A
김포시,55,484194,127499.0,229,7,9,0,1325,3,232,0.4,0.5333333333333333,0.0666666666666666,0.0,37.61534999999992,126.70716477903692,276.6,A
광주시,16,391704,100680.0,129,0,4,0,1238,11,555,0.9230769230769232,0.0769230769230769,0.0,0.0,37.4267878151939,127.25816050743552,431.0,E
광명시,28,288182,76757.0,89,0,3,0,445,0,0,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,37.47861759999975,126.8562711790359,38.5,E
군포시,10,266531,73938.0,155,0,7,2,438,7,2555,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,37.36152300000101,126.92695877903768,36.4,B
하남시,29,325310,91765.0,131,6,4,0,581,0,0,0.4583333333333333,0.5416666666666666,0.0,0.0,37.53930139978594,127.20649497931808,93.0,E
오산시,15,229833,68589.0,93,4,4,0,414,5,15628,0.3333333333333333,0.5,0.0833333333333333,0.0833333333333333,37.14988699999913,127.0690826790372,42.7,B
이천시,14,223151,62261.0,155,1,3,0,1179,4,2175,0.88,0.08,0.0,0.04,37.27234199999979,127.4266546790396,461.5,B
안성시,13,189146,45902.0,96,1,0,0,1218,12,5255,0.5555555555555556,0.2888888888888888,0.0444444444444444,0.1111111111111111,37.00805459999921,127.27139387904104,553.5,B
의왕시,5,160464,45582.0,102,2,1,0,380,1,9393,0.6363636363636364,0.3636363636363636,0.0,0.0,37.34488690000084,126.96409435393784,54.0,B
양평군,5,122463,21290.0,39,1,9,0,1051,7,838,1.0,0.0,0.0,0.0,37.49179099999989,127.47921767903722,877.8,D
여주시,7,113096,23085.0,70,0,2,0,1124,1,6084,0.875,0.125,0.0,0.0,37.29834189999944,127.62870277903738,608.3,D
과천시,3,77775,20397.0,15,0,5,0,111,1,0,0.5,0.5,0.0,0.0,37.4292012999992,126.97929577903906,35.9,D
고양시 덕양구,48,487874,131281.059,274,8,9,2,1205,6,4210,0.65625,0.34375,0.0,0.0,37.63743050000004,126.82374537903809,165.0,A
고양시 일산동구,51,296590,79808.82212,133,0,6,0,454,1,13923,0.4615384615384615,0.4615384615384615,0.0,0.0769230769230769,37.65862180000045,126.7710064539382,59.0,E
고양시 일산서구,29,290738,78234.1189,140,0,4,0,635,0,0,0.5,0.375,0.0,0.125,37.67799146170975,126.74110481457048,42.0,E
남양주시,57,737366,176762.0,385,6,13,0,1803,2,8100,0.5263157894736842,0.4736842105263157,0.0,0.0,37.635985000004034,127.21228275393878,458.1,C
파주시,36,494970,127905.0,221,8,10,0,2040,2,5221,0.8,0.1428571428571428,0.0285714285714285,0.0285714285714285,37.76018600000026,126.77150377903833,673.9,A
의정부시,37,463789,124355.0,299,5,21,0,716,6,5309,0.4615384615384615,0.4615384615384615,0.0,0.0769230769230769,37.738082999999605,127.02537367903524,81.5,A
양주시,12,241346,55818.0,124,4,3,0,1561,4,2673,0.7272727272727273,0.2272727272727272,0.0454545454545454,0.0,37.78532890000048,127.03746767903924,310.5,B
구리시,19,188876,51033.0,111,1,2,0,313,0,0,0.5,0.5,0.0,0.0,37.594265899999066,127.12125267903824,33.3,B
포천시,9,147019,32828.0,76,1,0,0,1126,15,10454,0.8888888888888888,0.1111111111111111,0.0,0.0,37.89486699999945,127.19186117903664,827.0,D
동두천시,4,91735,21008.0,41,1,5,0,361,3,4922,0.75,0.0833333333333333,0.0833333333333333,0.0833333333333333,37.90366429999981,127.05225917903596,95.7,D
가평군,7,62197,11629.0,39,0,4,0,928,1,61,1.0,0.0,0.0,0.0,37.83150789999981,127.5011616790384,843.6,D
연천군,3,42153,9213.0,35,0,0,0,644,0,0,1.0,0.0,0.0,0.0,38.09673800000029,127.06637577903746,676.2,D
