,쏘카존수,녹지,주거,공업,상업,인구,대학교 개수,아파트수
가평군,7,1.0,0.0,0.0,0.0,62197,1,39
고양시 덕양구,48,0.65625,0.34375,0.0,0.0,487874,6,274
고양시 일산동구,51,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693,296590,1,133
고양시 일산서구,29,0.5,0.375,0.0,0.125,290738,0,140
과천시,3,0.5,0.5,0.0,0.0,77775,1,15
광명시,28,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,288182,0,89
광주시,16,0.9230769230769231,0.07692307692307693,0.0,0.0,391704,11,129
구리시,19,0.5,0.5,0.0,0.0,188876,0,111
군포시,10,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,266531,7,155
김포시,55,0.4,0.5333333333333333,0.06666666666666667,0.0,484194,3,229
남양주시,57,0.5263157894736842,0.47368421052631576,0.0,0.0,737366,2,385
동두천시,4,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,91735,3,41
부천시,57,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.0,791263,14,520
성남시 분당구,58,0.5,0.5,0.0,0.0,482026,1,231
성남시 수정구,18,0.631578947368421,0.3684210526315789,0.0,0.0,232125,11,91
성남시 중원구,13,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,206211,1,79
수원시 권선구,16,0.625,0.3125,0.0625,0.0,367004,1,159
수원시 영통구,34,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,360127,21,129
수원시 장안구,18,0.2727272727272727,0.7272727272727273,0.0,0.0,271012,4,200
수원시 팔달구,20,0.13636363636363635,0.4090909090909091,0.0,0.45454545454545453,192225,0,65
시흥시,35,0.7741935483870968,0.1935483870967742,0.03225806451612903,0.0,512438,5,313
안산시 단원구,25,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.0,297509,2,160
안산시 상록구,21,0.6666666666666666,0.3333333333333333,0.0,0.0,345535,4,65
안성시,13,0.5555555555555556,0.28888888888888886,0.044444444444444446,0.1111111111111111,189146,12,96
안양시 동안구,19,0.25,0.75,0.0,0.0,314102,1,174
안양시 만안구,19,0.6666666666666666,0.3333333333333333,0.0,0.0,234296,15,138
양주시,12,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.0,241346,4,124
양평군,5,1.0,0.0,0.0,0.0,122463,7,39
여주시,7,0.875,0.125,0.0,0.0,113096,1,70
연천군,3,1.0,0.0,0.0,0.0,42153,0,35
오산시,15,0.3333333333333333,0.5,0.08333333333333333,0.08333333333333333,229833,5,93
용인시 기흥구,37,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0,438500,16,251
용인시 수지구,37,0.42857142857142855,0.5714285714285714,0.0,0.0,377198,9,214
용인시 처인구,29,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,259872,15,112
의왕시,5,0.6363636363636364,0.36363636363636365,0.0,0.0,160464,1,102
의정부시,37,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693,463789,6,299
이천시,14,0.88,0.08,0.0,0.04,223151,4,155
파주시,36,0.8,0.14285714285714285,0.02857142857142857,0.02857142857142857,494970,2,221
평택시,53,0.5945945945945946,0.2702702702702703,0.08108108108108109,0.05405405405405406,577335,9,367
포천시,9,0.8888888888888888,0.1111111111111111,0.0,0.0,147019,15,76
하남시,29,0.4583333333333333,0.5416666666666666,0.0,0.0,325310,0,131
화성시,56,0.5675675675675675,0.35135135135135137,0.05405405405405406,0.02702702702702703,907958,27,388
