,녹지,주거,공업,상업,인구,socar_zone_counts
수원시 장안구,0.272727273,0.727272727,0,0,271012,18
수원시 권선구,0.625,0.3125,0.0625,0,367004,16
수원시 팔달구,0.136363636,0.409090909,0,0.454545455,192225,20
수원시 영통구,0.142857143,0.571428571,0.285714286,0,360127,34
용인시 처인구,0.823529412,0.058823529,0,0.117647059,259872,29
용인시 기흥구,0.727272727,0.181818182,0.090909091,0,438500,37
용인시 수지구,0.428571429,0.571428571,0,0,377198,37
성남시 수정구,0.631578947,0.368421053,0,0,232125,18
성남시 중원구,0.555555556,0.222222222,0.111111111,0.111111111,206211,13
성남시 분당구,0.5,0.5,0,0,482026,58
부천시,0.230769231,0.615384615,0.153846154,0,791263,57
화성시,0.567567568,0.351351351,0.054054054,0.027027027,907958,56
안산시 단원구,0.428571429,0.357142857,0.214285714,0,297509,25
안산시 상록구,0.666666667,0.333333333,0,0,345535,21
안양시 동안구,0.25,0.75,0,0,314102,19
안양시 만안구,0.666666667,0.333333333,0,0,234296,19
평택시,0.594594595,0.27027027,0.081081081,0.054054054,577335,53
시흥시,0.774193548,0.193548387,0.032258065,0,512438,35
김포시,0.4,0.533333333,0.066666667,0,484194,55
광주시,0.923076923,0.076923077,0,0,391704,16
광명시,0.222222222,0.666666667,0,0.111111111,288182,28
군포시,0.333333333,0.444444444,0.222222222,0,266531,10
하남시,0.458333333,0.541666667,0,0,325310,29
오산시,0.333333333,0.5,0.083333333,0.083333333,229833,15
이천시,0.88,0.08,0,0.04,223151,14
안성시,0.555555556,0.288888889,0.044444444,0.111111111,189146,13
의왕시,0.636363636,0.363636364,0,0,160464,5
양평군,1,0,0,0,122463,5
여주시,0.875,0.125,0,0,113096,7
과천시,0.5,0.5,0,0,77775,3
고양시 덕양구,0.65625,0.34375,0,0,487874,48
고양시 일산동구,0.461538462,0.461538462,0,0.076923077,296590,51
고양시 일산서구,0.5,0.375,0,0.125,290738,29
남양주시,0.526315789,0.473684211,0,0,737366,57
파주시,0.8,0.142857143,0.028571429,0.028571429,494970,36
의정부시,0.461538462,0.461538462,0,0.076923077,463789,37
양주시,0.727272727,0.227272727,0.045454545,0,241346,12
구리시,0.5,0.5,0,0,188876,19
포천시,0.888888889,0.111111111,0,0,147019,9
동두천시,0.75,0.083333333,0.083333333,0.083333333,91735,4
가평군,1,0,0,0,62197,7
연천군,1,0,0,0,42153,3
